edge,Time.concordance..EP.,time_freq,Dose.concordance..EP.,dose_freq,edge_count,Aid_count,time_score,time_score_positive,dose_score,dose_score_positive,EE_total_score,EE_Nscore,EE_score_rank,EE_rank
er_stress-steatosis,no,-0.1111111111111111,yes,0.3333333333333333,9,7,-1.0,0.0,3.0,3.0,3.0,2.2857142857142856,low,1
novel_apoptosis-steatosis,no,-1.0,yes,1.0,1,1,-1.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_insulin_resistance-liver_triglyceride_accumulation,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_fxr-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,3,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_fxr-nuclear_receptor_changes_shp,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
fa_uptake-liver_triglyceride_accumulation,yes,-0.047619047619047616,yes,0.4285714285714286,42,27,-2.0,0.0,18.0,18.0,18.0,8.714285714285712,high,3
liver_triglyceride_accumulation-vldl_secretion,yes,1.0,no,-1.0,1,1,1.0,1.0,-1.0,0.0,1.0,1.4285714285714284,low,1
de_novo_lipogenesis_fa_synthesis-liver_triglyceride_accumulation,yes,-0.03409090909090909,yes,0.22727272727272727,88,64,-3.0,0.0,20.0,20.0,20.0,9.57142857142857,high,3
de_novo_lipogenesis_tg_synthesis-liver_triglyceride_accumulation,yes,-0.04,yes,0.4,25,20,-1.0,0.0,10.0,10.0,10.0,5.285714285714285,middle,2
nuclear_receptor_changes_ppara-liver_triglyceride_accumulation,yes,0.0,yes,0.25,8,7,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_ppara-mitochondrial_beta_oxidation,nomeasure,0.0,yes,0.1111111111111111,9,9,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
liver_triglyceride_accumulation-steatosis,yes,-0.011235955056179775,yes,0.2359550561797753,89,69,-1.0,0.0,21.000000000000004,21.000000000000004,21.000000000000004,10.0,high,3
novel_nnmt_mediated_depletion_of_sam-nuclear_receptor_changes_ppara,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_ppara-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,yes,0.6666666666666666,3,2,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
novel_lipolysis-nuclear_receptor_changes_ppara,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
other_receptor_changes_ahr-fa_uptake,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
other_receptor_changes_ahr-liver_triglyceride_accumulation,yes,0.3333333333333333,yes,0.6666666666666666,3,3,1.0,1.0,2.0,2.0,3.0,2.2857142857142856,low,1
other_receptor_changes_ahr-peroxisomal_beta_oxidation,yes,0.5,yes,1.0,2,2,1.0,1.0,2.0,2.0,3.0,2.2857142857142856,low,1
other_receptor_changes_ahr-vldl_secretion,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
fatty_liver-steatosis,yes,0.06666666666666667,yes,0.06666666666666668,15,11,1.0,1.0,1.0000000000000002,1.0000000000000002,2.0,1.857142857142857,low,1
liver_triglyceride_accumulation-fatty_liver,yes,0.2857142857142857,no,-0.14285714285714285,7,5,2.0,2.0,-1.0,0.0,2.0,1.857142857142857,low,1
novel_lipophagy-liver_triglyceride_accumulation,no,-0.2,no,-0.8,5,4,-1.0,0.0,-4.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_ampk-protein_kinase_changes_novel_mtorc,nomeasure,0.0,yes,0.5,2,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
protein_kinase_changes_novel_mtorc-novel_lipophagy,nomeasure,0.0,yes,0.5,2,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
liver_triglyceride_accumulation-mitochondrial_disruption,nomeasure,0.0,nomeasure,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-novel_oxidative_stress,yes,0.14285714285714285,yes,0.14285714285714285,7,5,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
liver_triglyceride_accumulation-peroxisomal_beta_oxidation,nomeasure,0.0,yes,0.0,8,5,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_jak2/stat5_pathway-de_novo_lipogenesis_fa_synthesis,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_jak2/stat5_pathway-nuclear_receptor_changes_pparg,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_oxidative_stress-mitochondrial_disruption,nomeasure,0.0,yes,0.25,4,3,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_oxidative_stress-steatosis,yes,0.0625,yes,0.0625,16,6,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_pparg-de_novo_lipogenesis_fa_synthesis,yes,-0.25,yes,0.4375,16,9,-4.0,0.0,7.0,7.0,7.0,3.9999999999999996,middle,2
liver_triglyceride_accumulation-mitochondrial_beta_oxidation,yes,0.1111111111111111,yes,0.4444444444444444,9,8,1.0,1.0,4.0,4.0,5.0,3.1428571428571423,middle,2
liver_triglyceride_accumulation-novel_lipolysis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
liver_triglyceride_accumulation-nucleus_distortion,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
mitochondrial_beta_oxidation-liver_triglyceride_accumulation,yes,-0.0784313725490196,yes,0.37254901960784315,51,35,-4.0,0.0,19.0,19.0,19.0,9.14285714285714,high,3
novel_lipoprotein_lipase_(lpl)_and_receptor_(ldlr)-liver_triglyceride_accumulation,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
vldl_secretion-liver_triglyceride_accumulation,yes,0.15789473684210525,yes,0.2631578947368421,19,17,3.0,3.0,5.0,5.0,8.0,4.428571428571428,middle,2
novel_oxidative_stress-vldl_secretion,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_ap_1_pathway-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_jnk_pathway-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_jnk_pathway-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_jnk_pathway-novel_ap_1_pathway,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-novel_jnk_pathway,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_lipin_1-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_pgc_1a-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_pgc_1a-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
fa_uptake-fatty_liver,yes,0.0,nomeasure,0.0,5,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
mitochondrial_beta_oxidation-fatty_liver,nomeasure,0.0,nomeasure,0.0,5,4,0.0,0.0,0.0,0.0,0.0,1.0,low,1
peroxisomal_beta_oxidation-fatty_liver,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt2-fatty_liver,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_nlrp3_inflammasome-liver_triglyceride_accumulation,no,-0.5,yes,0.5,2,1,-1.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_microbiota_dysbiosis-novel,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_novel__lxrb-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_novel_rxr-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
de_novo_lipogenesis_fa_synthesis-novel_oxidative_stress,no,-1.0,yes,1.0,1,1,-1.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_lipophagy-steatosis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_pxr-fa_uptake,nomeasure,0.0,yes,0.4,10,5,0.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
novel_gluconeogenesis-liver_triglyceride_accumulation,nomeasure,0.0,yes,0.5,2,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_altered_lipid_profile-fatty_liver,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
mitochondrial_disruption-novel_lipid_peroxidation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_dipeptidyl_peptidase_4_(dpp_4)-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-fatty_liver,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-liver_triglyceride_accumulation,yes,0.0,yes,0.3333333333333333,12,10,0.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
novel_cyp450-novel_oxidative_stress,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-de_novo_lipogenesis_tg_synthesis,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-fa_uptake,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_hnf_1a-novel_cyp450,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pxr-liver_triglyceride_accumulation,nomeasure,0.0,yes,0.8,10,3,0.0,0.0,8.0,8.0,8.0,4.428571428571428,middle,2
mitochondrial_beta_oxidation-novel_oxidative_stress,yes,0.5,yes,1.0,2,2,1.0,1.0,2.0,2.0,3.0,2.2857142857142856,low,1
novel_oxidative_stress-novel_apoptosis,yes,0.1111111111111111,yes,0.1111111111111111,9,2,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
de_novo_lipogenesis_fa_synthesis-steatosis,yes,0.14285714285714285,yes,0.14285714285714285,7,6,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_galactose_metabolism-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_glucose_metabolism-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_mitophagy-liver_triglyceride_accumulation,nomeasure,0.0,no,-1.0,1,1,0.0,0.0,-1.0,0.0,0.0,1.0,low,1
er_stress-novel_fibrosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-er_stress,nomeasure,0.0,nomeasure,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_fibrosis-novel_apoptosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
steatosis-er_stress,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_prostaglandin_synthesis_(pde2)-nuclear_receptor_changes_pparg,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-fa_uptake,yes,0.16666666666666666,yes,0.5833333333333334,12,8,2.0,2.0,7.0,7.0,9.0,4.857142857142856,middle,2
novel_cholesterol_accumulation-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,no,-1.0,1,1,0.0,0.0,-1.0,0.0,0.0,1.0,low,1
novel_cholesterol_synthesis-novel_cholesterol_accumulation,nomeasure,0.0,yes,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-novel_inflammation,nomeasure,0.0,yes,0.3333333333333333,3,2,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
cytoplasm_displacement-steatosis,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
mitochondrial_disruption-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_phosphorylation-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,3,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_inflammation-novel_apoptosis,nomeasure,0.0,nomeasure,0.0,8,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_inflammation-steatosis,nomeasure,0.0,nomeasure,0.0,7,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_nrf2-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_lxra-fa_uptake,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-de_novo_lipogenesis_tg_synthesis,no,-0.3333333333333333,yes,0.6666666666666666,6,4,-2.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
op-de_novo_lipogenesis_tg_synthesis,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_lxra-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_novel_rara-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_novel_rxrb-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_changes_in_gut_microbiome-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
peroxisomal_beta_oxidation-liver_triglyceride_accumulation,yes,0.4,yes,0.2,5,4,2.0,2.0,1.0,1.0,3.0,2.2857142857142856,low,1
nuclear_receptor_changes_lxra-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,5,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_lxra-de_novo_lipogenesis_tg_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_pdk4-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_novel_errg-de_novo_lipogenesis_fa_synthesis,yes,0.3333333333333333,nomeasure,0.0,3,1,1.0,1.0,0.0,0.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_fxr-transcription_factor_related_changes_other_pgc_1a,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_pgc_1a-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_inflammation-de_novo_lipogenesis_fa_synthesis,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_inflammation-liver_triglyceride_accumulation,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_inflammation-mitochondrial_beta_oxidation,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_oxidative_stress-novel_inflammation,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
transcription_factor_related_changes_nrf2-novel_oxidative_stress,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_pparg-mitochondrial_beta_oxidation,no,-1.0,yes,1.0,4,1,-4.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
nuclear_receptor_changes_pxr-de_novo_lipogenesis_fa_synthesis,no,-1.0,yes,1.0,4,1,-4.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
nuclear_receptor_changes_pxr-de_novo_lipogenesis_tg_synthesis,no,-1.0,yes,1.0,2,1,-2.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_pxr-mitochondrial_beta_oxidation,no,-0.8,yes,0.8,5,2,-4.0,0.0,4.0,4.0,4.0,2.714285714285714,middle,2
nuclear_receptor_changes_pparg-de_novo_lipogenesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-liver_triglyceride_accumulation,yes,0.05263157894736842,yes,0.15789473684210525,19,7,1.0,1.0,3.0,3.0,4.0,2.714285714285714,middle,2
novel_nlrp3_inflammasome-novel_inflammation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_lipolysis-liver_triglyceride_accumulation,nomeasure,0.0,yes,0.3333333333333333,3,3,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_methionine_cycle_disruption-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_methionine_cycle_disruption-fa_uptake,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_methionine_cycle_disruption-liver_triglyceride_accumulation,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
novel_methionine_cycle_disruption-novel_lipolysis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_camp-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
mitochondrial_beta_oxidation-mitochondrial_disruption,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
mitochondrial_disruption-steatosis,yes,0.125,no,-0.125,8,3,1.0,1.0,-1.0,0.0,1.0,1.4285714285714284,low,1
novel_trp_kyn/nam_pathway-mitochondrial_disruption,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
mitochondrial_disruption-fa_uptake,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_inflammation-novel_oxidative_stress,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-peroxisomal_beta_oxidation,yes,0.0,yes,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
peroxisomal_beta_oxidation-mitochondrial_beta_oxidation,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
peroxisomal_beta_oxidation-novel_acetyl_coa_carboxylase_(acc)_activity,no,-1.0,yes,1.0,1,1,-1.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
peroxisomal_beta_oxidation-novel_acetyl_coa_synthetase_(acs)_activity,no,-1.0,yes,1.0,1,1,-1.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
peroxisomal_beta_oxidation-steatosis,no,-0.6666666666666666,no,-0.6666666666666666,3,2,-2.0,0.0,-2.0,0.0,0.0,1.0,low,1
other_receptor_changes_ahr-mitochondrial_beta_oxidation,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
mitochondrial_disruption-novel_oxidative_stress,nomeasure,0.0,no,-1.0,1,1,0.0,0.0,-1.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-mitochondrial_disruption,yes,0.3333333333333333,yes,0.6666666666666666,3,3,1.0,1.0,2.0,2.0,3.0,2.2857142857142856,low,1
other_receptor_changes_novel_cb1-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
other_receptor_changes_novel_cb1-mitochondrial_beta_oxidation,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
mitochondrial_beta_oxidation-steatosis,yes,0.14285714285714285,yes,0.19047619047619047,21,6,3.0,3.0,4.0,4.0,7.0,3.9999999999999996,middle,2
vldl_secretion-steatosis,nomeasure,0.0,yes,0.5,2,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_lysosomal_biogenesis-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_lysosomal_biogenesis-novel_autophagy,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_mtorc-novel_lysosomal_biogenesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-transcription_factor_related_changes_nrf2,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-novel_autophagy,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
liver_triglyceride_accumulation-protein_kinase_changes_novel_mtorc1,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_autophagy-er_stress,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_mtorc-er_stress,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_chop-novel_lamp2,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pxr-novel_inflammation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pxr-novel_cholesterol_synthesis,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_pxr-novel_hdl_uptake,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
novel_deptor-novel,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_deptor-protein_kinase_changes_novel_mtorc1,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_sirt1-protein_kinase_changes_novel_mtorc1,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_mtorc-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_mtorc-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_angptl4_ceramide_pkc_signaling_axis-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_angptl4_ceramide_pkc_signaling_axis-de_novo_lipogenesis_tg_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_gr-novel_angptl4_ceramide_pkc_signaling_axis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_active_the_upr(unfolded_protein_response)-er_stress,no,-1.0,no,-1.0,2,1,-2.0,0.0,-2.0,0.0,0.0,1.0,low,1
novel_active_the_upr(unfolded_protein_response)-liver_triglyceride_accumulation,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_chop-er_stress,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
novel_plasma_membrane_structural_integrity-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,29,3,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,4,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-vldl_secretion,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
other_receptor_changes_ahr-nuclear_receptor_changes_ppara,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
