source,target,weight
de_novo_lipogenesis_fa_synthesis,fatty_liver,1
de_novo_lipogenesis_fa_synthesis,liver_triglyceride_accumulation,3
de_novo_lipogenesis_fa_synthesis,steatosis,1
de_novo_lipogenesis_tg_synthesis,liver_triglyceride_accumulation,1
er_stress,de_novo_lipogenesis_fa_synthesis,1
er_stress,liver_triglyceride_accumulation,1
er_stress,steatosis,1
fa_uptake,liver_triglyceride_accumulation,2
fatty_liver,steatosis,1
liver_triglyceride_accumulation,er_stress,1
liver_triglyceride_accumulation,fatty_liver,1
liver_triglyceride_accumulation,mitochondrial_beta_oxidation,1
liver_triglyceride_accumulation,mitochondrial_disruption,1
liver_triglyceride_accumulation,novel_oxidative_stress,1
liver_triglyceride_accumulation,peroxisomal_beta_oxidation,1
liver_triglyceride_accumulation,steatosis,3
mitochondrial_beta_oxidation,fatty_liver,1
mitochondrial_beta_oxidation,liver_triglyceride_accumulation,2
mitochondrial_beta_oxidation,steatosis,1
mitochondrial_disruption,liver_triglyceride_accumulation,1
mitochondrial_disruption,steatosis,1
novel_lipolysis,liver_triglyceride_accumulation,1
novel_lipophagy,liver_triglyceride_accumulation,1
novel_oxidative_stress,mitochondrial_disruption,1
novel_oxidative_stress,steatosis,1
nuclear_receptor_changes_lxra,de_novo_lipogenesis_fa_synthesis,1
nuclear_receptor_changes_lxra,liver_triglyceride_accumulation,1
nuclear_receptor_changes_ppara,liver_triglyceride_accumulation,1
nuclear_receptor_changes_ppara,mitochondrial_beta_oxidation,1
nuclear_receptor_changes_ppara,mitochondrial_disruption,1
nuclear_receptor_changes_ppara,peroxisomal_beta_oxidation,1
nuclear_receptor_changes_pparg,de_novo_lipogenesis_fa_synthesis,1
nuclear_receptor_changes_pparg,de_novo_lipogenesis_tg_synthesis,1
nuclear_receptor_changes_pparg,fa_uptake,1
nuclear_receptor_changes_pparg,liver_triglyceride_accumulation,1
nuclear_receptor_changes_pxr,fa_uptake,1
nuclear_receptor_changes_pxr,liver_triglyceride_accumulation,1
other_receptor_changes_ahr,liver_triglyceride_accumulation,1
peroxisomal_beta_oxidation,liver_triglyceride_accumulation,1
transcription_factor_related_changes_nrf2,liver_triglyceride_accumulation,1
vldl_secretion,liver_triglyceride_accumulation,1
