source,target,weight
Cytoskeleton integrity disruption,cholestasis,1
ER stress/unfolded protein response,cholestasis,1
apoptosis,cholestasis,1
bile acid metabolism changes,cholestasis,1
bile acid metabolism changes,inflammation,1
bile acid metabolism changes,nuclear receptor changes,1
bile acid synthesis changes,cholestasis,1
bile acid synthesis changes,inflammation,1
bile acid synthesis changes,intracellular bile acid accumulation,1
bile acid synthesis changes,nuclear receptor changes,1
bile acid synthesis changes,oxidative stress,1
bile canalicular changes,apoptosis,1
bile canalicular changes,cholestasis,1
bile canalicular changes,intracellular bile acid accumulation,1
inflammation,apoptosis,1
inflammation,cholestasis,1
inflammation,necrosis,1
intracellular bile acid accumulation,apoptosis,1
intracellular bile acid accumulation,cholestasis,1
intracellular bile acid accumulation,inflammation,1
intracellular bile acid accumulation,necrosis,1
intracellular bile acid accumulation,nuclear receptor activation,1
intracellular bile acid accumulation,nuclear receptor changes,1
intracellular bile acid accumulation,oxidative stress,1
necrosis,cholestasis,1
nuclear receptor activation,bile acid synthesis changes,1
nuclear receptor activation,transporter changes,1
nuclear receptor changes,bile acid metabolism changes,1
nuclear receptor changes,bile acid synthesis changes,1
nuclear receptor changes,cholestasis,2
nuclear receptor changes,inflammation,1
nuclear receptor changes,intracellular bile acid accumulation,1
nuclear receptor changes,transporter changes,2
oxidative stress,apoptosis,1
oxidative stress,cholestasis,1
oxidative stress,necrosis,1
tight junction disruption,cholestasis,1
transporter changes,apoptosis,1
transporter changes,bile acid synthesis changes,1
transporter changes,cholestasis,3
transporter changes,inflammation,1
transporter changes,intracellular bile acid accumulation,2
transporter changes,nuclear receptor changes,2
transporter changes,oxidative stress,2
