edge,edge_count,Aid_count,n_stressorLevel,n_evidenceLevel,n_speciesLevel,n_testLevel,corr_pos_freq,n_corLevel,BP_sum_score,BP_Nscore,BP_score_rank,BP_rank
Cytoskeleton integrity disruption-apoptosis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
Cytoskeleton integrity disruption-cholestasis,4,3,3,4,2,1,1.0,4.0,14.0,1.1691022964509394,low,1
Cytoskeleton integrity disruption-inflammation,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
Cytoskeleton integrity disruption-transporter changes,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
ER stress/unfolded protein response-apoptosis,3,2,1,2,2,2,1.0,3.0,10.0,1.0939457202505218,low,1
ER stress/unfolded protein response-autophagy,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
ER stress/unfolded protein response-bile canalicular changes,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
ER stress/unfolded protein response-cholestasis,9,5,2,4,2,3,1.0,9.0,20.0,1.2818371607515657,low,1
ER stress/unfolded protein response-intracellular bile acid accumulation,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
ER stress/unfolded protein response-necropoptosis,3,1,1,1,1,1,1.0,3.0,7.0,1.0375782881002087,low,1
ER stress/unfolded protein response-necrosis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
ER stress/unfolded protein response-transporter changes,5,1,2,3,2,2,1.0,5.0,14.0,1.1691022964509394,low,1
apoptosis-cholestasis,15,8,2,7,2,3,1.0,15.0,29.0,1.4509394572025052,low,1
bile acid metabolism changes-ER stress/unfolded protein response,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
bile acid metabolism changes-cholestasis,21,16,2,5,2,1,1.0,21.0,31.0,1.488517745302714,low,1
bile acid metabolism changes-inflammation,3,3,2,4,2,1,1.0,3.0,12.0,1.1315240083507305,low,1
bile acid metabolism changes-intracellular bile acid accumulation,2,1,1,2,1,1,1.0,2.0,7.0,1.0375782881002087,low,1
bile acid metabolism changes-nuclear receptor changes,8,4,2,4,2,1,1.0,8.0,17.0,1.2254697286012526,low,1
bile acid metabolism changes-oxidative stress,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
bile acid synthesis changes-cholestasis,60,29,4,5,3,2,1.0,60.0,74.0,2.2964509394572024,low,1
bile acid synthesis changes-inflammation,9,5,2,4,2,1,1.0,9.0,18.0,1.2442588726513568,low,1
bile acid synthesis changes-intracellular bile acid accumulation,23,7,2,4,3,2,1.0,23.0,34.0,1.5448851774530272,low,1
bile acid synthesis changes-non_specified cell death,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
bile acid synthesis changes-nuclear receptor changes,13,4,2,4,3,2,1.0,13.0,24.0,1.356993736951983,low,1
bile acid synthesis changes-oxidative stress,7,3,3,3,2,2,1.0,7.0,17.0,1.2254697286012526,low,1
bile acid synthesis changes-transporter changes,6,1,1,1,1,1,1.0,6.0,10.0,1.0939457202505218,low,1
