Article.ID,edge,Correlation.KEs..BP.ES.,assay.method..EP.ES.BA.,assay_interp_twolevel,Cor_interp_threelevel,cor_assay,assay_value,cor_value,cor_assay_value,cor_assay_score
14967839,oxidative stress-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967855,tight junction disruption-bile canalicular changes,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967855,tight junction disruption-bile canalicular changes,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967855,tight junction disruption-bile canalicular changes,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967855,oxidative stress-bile canalicular changes,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967855,oxidative stress-tight junction disruption,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967855,oxidative stress-tight junction disruption,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967855,oxidative stress-tight junction disruption,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967959,novel_AhR activiation-necrosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967959,novel_AhR activiation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967959,novel_AhR activiation-intracellular bile acid accumulation,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967951,oxidative stress-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967951,oxidative stress-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967946,oxidative stress-cholestasis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967946,inflammation-cholestasis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967946,inflammation-necrosis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967946,oxidative stress-necrosis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967946,necrosis-cholestasis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967936,necrosis-cholestasis,nomeasure,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967923,novel_Crebh activation-oxidative stress,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967923,novel_Crebh activation-ER stress/unfolded protein response,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967923,novel_Crebh activation-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967923,novel_Crebh activation-oxidative stress,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967923,novel_Crebh activation-ER stress/unfolded protein response,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967917,intracellular bile acid accumulation-inflammation,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,intracellular bile acid accumulation-inflammation,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
