Article.ID;User.ID;User.Name;KE..Up.;Novel.KE.Up.;KE.up..biomarker;Novel.other.biomarker.KE.up.;KE.Down.;Novel.KE.Down.;KE.down..biomarker;Novel.other.biomarker.KE.down.;Stressor.BA.BP.;chemical;Species.BA.BP.;Test.system.BA.BP.;Dose.concordance..EP.;Time.concordance..EP.;Correlation.KEs..BP.ES.;Evidence.level..EP.ES.BP.BA.;assay.method..EP.ES.BA.
14967839;6058;Jonas.Werner.E.Van.Ertvelde;oxidative stress;nan;['novel'];"Nrf2;Nqo1";cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids'];nan; food (supplement);oleanolic acid; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical"; other
14967855;6058;Jonas.Werner.E.Van.Ertvelde;tight junction disruption;nan;['tight_junction biomarkers (occludens/claudine/zo_1)', 'novel'];Par_3,aPKC;bile canalicular changes;nan;['dilatation of bile canaliculi'];nan; other;CCl4; rat;in vivo;nomeasure;True;POSITIVE CORRELATION;" functional;transcriptional; translational";"transcriptional study;  translational study; other"
14967855;6058;Jonas.Werner.E.Van.Ertvelde;oxidative stress;nan;[' not defined'];nan;bile canalicular changes;nan;['dilatation of bile canaliculi'];nan; other;CCl4; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967855;6058;Jonas.Werner.E.Van.Ertvelde;oxidative stress;nan;[' not defined'];nan;tight junction disruption;nan;['tight_junction biomarkers (occludens/claudine/zo_1)', 'novel'];Par_3,aPKC; other;CCl4; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;" functional;transcriptional; translational";"transcriptional study;  translational study; other"
14967959;6916;amy.maerten;novel_AhR activiation;AhR activiation;['novel'];AhR;necrosis;nan;['necrosis(biomarkers)'];nan;pharmaceutical;flutamide; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical";transcriptional study
14967959;6916;amy.maerten;novel_AhR activiation;AhR activiation;['novel'];AhR;cholestasis;nan;['ALT', 'ALP', 'AST', ' bile acids'];nan;pharmaceutical;flutamide; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical";transcriptional study
14967959;6916;amy.maerten;novel_AhR activiation;AhR activiation;['novel'];AhR; intracellular bile acid accumulation;nan;['bile acids'];nan;pharmaceutical;flutamide; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical";transcriptional study
14967951;7581;John.Alphonsus.Rowe;oxidative stress;nan;['novel'];Nqo1,Hmox1, Txnrd1;cholestasis;nan;['ALT', 'AST', 'bilirubin (total)'];nan;pharmaceutical;Cannabidiol; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;" functional;clinical"; other
14967951;7581;John.Alphonsus.Rowe;oxidative stress;nan;['oxidative stress biomarkers(ROS/GSS/GSSG)'];nan;cholestasis;nan;['ALT', 'AST', 'bilirubin (total)'];nan;pharmaceutical;Cannabidiol; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;" functional;clinical"; other
14967946;6916;amy.maerten;oxidative stress;nan;['oxidative stress biomarkers(ROS/GSS/GSSG)', 'novel'];SOD in erythrocytes;cholestasis;nan;['AST', 'ALT', 'GGT', 'ALP'];nan; biocide;CCl4; rat;in vivo;nomeasure;True;POSITIVE CORRELATION;" functional;clinical"; not defined
14967946;6916;amy.maerten;inflammation;nan;['novel'];histological study ;cholestasis;nan;['AST', 'ALT', 'GGT', 'ALP'];nan; biocide;CCl4; rat;in vivo;nomeasure;True;POSITIVE CORRELATION;" functional;clinical"; not defined
