,edge,edge_count,Aid_count,BP_Nscore,EE_Nscore,ESS_Nscore,sum_score,sum_Nscore
0,Cytoskeleton integrity disruption-apoptosis,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
1,Cytoskeleton integrity disruption-cholestasis,4,3,1.1691022964509394,1.3711340206185567,1.0020907326340134,3.5423270497035095,2.525998699938657
2,Cytoskeleton integrity disruption-inflammation,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
3,Cytoskeleton integrity disruption-transporter changes,2,1,1.0187891440501042,1.0,1.0002323036260017,3.019021447676106,2.4177285753812634
4,ER stress/unfolded protein response-apoptosis,3,2,1.0939457202505218,1.0,1.001254439580408,3.09520015983093,2.433489688240882
5,ER stress/unfolded protein response-autophagy,2,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
6,ER stress/unfolded protein response-bile canalicular changes,1,1,1.0,1.1855670103092784,1.000185842900801,3.1857528532100794,2.4522247282503615
7,ER stress/unfolded protein response-cholestasis,9,5,1.2818371607515655,1.1855670103092784,1.0077589411084495,3.4751631121692936,2.5121027128626126
8,ER stress/unfolded protein response-intracellular bile acid accumulation,1,1,1.0187891440501042,1.0927835051546393,1.0000464607252002,3.1116191099299435,2.4368867123992985
9,ER stress/unfolded protein response-necropoptosis,3,1,1.0375782881002087,1.0,1.0002787643512017,3.03785705245141,2.4216255970589122
10,ER stress/unfolded protein response-necrosis,1,1,1.0,1.0,1.0,3.0,2.413793103448276
11,ER stress/unfolded protein response-transporter changes,5,1,1.1691022964509394,1.0,1.000789832328405,3.1698921287793445,2.4489431990577955
12,apoptosis-cholestasis,15,8,1.4509394572025052,1.1855670103092784,1.027365367142975,3.663871834654759,2.5511458968251226
13,bile acid metabolism changes-ER stress/unfolded protein response,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
14,bile acid metabolism changes-cholestasis,21,16,1.488517745302714,1.0,1.08906521020897,3.577582955511684,2.5332930252782795
15,bile acid metabolism changes-inflammation,3,3,1.1315240083507303,1.0,1.0019513504584123,3.133475358809143,2.4414086949260296
16,bile acid metabolism changes-intracellular bile acid accumulation,2,1,1.0375782881002087,1.0,1.0004181465268027,3.0379964346270114,2.4216544347504163
17,bile acid metabolism changes-nuclear receptor changes,8,4,1.2254697286012526,1.0,1.0052500619476334,3.230719790548886,2.461528232527356
18,bile acid metabolism changes-oxidative stress,1,1,1.0,1.0,1.0,3.0,2.413793103448276
19,bile acid synthesis changes-cholestasis,60,29,2.2964509394572024,1.927835051546392,1.4593107293301395,5.683596720333734,2.969020011103531
20,bile acid synthesis changes-inflammation,9,5,1.2442588726513568,1.0927835051546393,1.010314280994466,3.347356658800462,2.485659998372509
21,bile acid synthesis changes-intracellular bile acid accumulation,23,7,1.5448851774530272,1.649484536082474,1.0375867266870404,4.231956440222541,2.668680642804664
22,bile acid synthesis changes-non_specified cell death,2,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
23,bile acid synthesis changes-nuclear receptor changes,13,4,1.356993736951983,1.3711340206185567,1.0080377054596514,3.7361654630301913,2.5661031992476255
24,bile acid synthesis changes-oxidative stress,7,3,1.2254697286012526,1.463917525773196,1.0027876435120178,3.692174897886466,2.557001703010993
25,bile acid synthesis changes-transporter changes,6,1,1.0939457202505218,1.556701030927835,1.0006969108780044,3.6513436620563615,2.548553861115109
26,bile canalicular changes-apoptosis,8,3,1.150313152400835,1.2783505154639174,1.0032057900388205,3.4318694579035727,2.503145405083498
27,bile canalicular changes-bile canalicular changes,1,1,1.0187891440501042,1.1855670103092784,1.000185842900801,3.2045419972601836,2.456112137364176
28,bile canalicular changes-cholestasis,11,3,1.2442588726513568,2.7628865979381443,1.0098961344676634,5.017041605057164,2.831112056218724
29,bile canalicular changes-inflammation,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
30,bile canalicular changes-intracellular bile acid accumulation,8,3,1.2442588726513568,1.556701030927835,1.0047389939704303,3.8056988975496218,2.580489427079232
31,bile canalicular changes-mitochondrial impairment,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
32,bile canalicular changes-necrosis,2,1,1.0187891440501042,1.1855670103092784,1.0001393821756008,3.2044955365349836,2.4561025248003414
33,bile canalicular changes-nuclear receptor changes,4,1,1.0563674321503131,1.0,1.0004181465268027,3.0567855786771156,2.425541843864231
34,bile canalicular changes-oxidative stress,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
35,bile canalicular changes-tight junction disruption,1,1,1.0,1.0927835051546393,1.0,3.0927835051546393,2.4329896907216497
36,cholestasis-bile acid synthesis changes,4,1,1.0751565762004174,1.7422680412371134,1.0009756752292065,3.8184002926667375,2.583117301931049
37,cholestasis-inflammation,2,2,1.0751565762004174,1.0927835051546393,1.0006969108780044,3.1686369922330613,2.4486835156344267
38,cholestasis-novel_Ppara inhibition,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
39,cholestasis-nuclear receptor changes,2,1,1.0375782881002087,1.3711340206185567,1.0004181465268027,3.4091304552455686,2.4984407838439107
40,cholestasis-transporter changes,8,1,1.1691022964509394,1.0,1.0020907326340134,3.171193029084953,2.449212350845163
41,inflammation-ER stress/unfolded protein response,4,1,1.0751565762004174,1.7422680412371134,1.0009756752292065,3.8184002926667375,2.583117301931049
42,inflammation-apoptosis,4,3,1.1315240083507303,1.0,1.0019513504584123,3.133475358809143,2.4414086949260296
43,inflammation-cholestasis,47,33,2.127348643006263,1.3711340206185567,1.343298298504997,4.841780962129817,2.7948512335441
44,inflammation-mitochondrial impairment,4,1,1.0563674321503131,1.7422680412371134,1.0004181465268027,3.799053619914229,2.5791145420512196
45,inflammation-necrosis,4,4,1.150313152400835,1.0927835051546393,1.003763318741224,3.2468599762966983,2.464867581302765
46,inflammation-novel_Ppara inhibition,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
47,inflammation-oxidative stress,1,1,1.0,1.0,1.0000464607252002,3.0000464607252004,2.4138027160121105
48,intracellular bile acid accumulation-ER stress/unfolded protein response,5,2,1.0939457202505218,1.0,1.00311286858842,3.097058588838942,2.433874190794264
49,intracellular bile acid accumulation-apoptosis,6,3,1.2442588726513568,1.1855670103092784,1.0034845543900222,3.4333104373506576,2.503443538762205
50,intracellular bile acid accumulation-bile acid synthesis changes,5,2,1.150313152400835,1.0927835051546393,1.0036703972908234,3.246767054846298,2.464848356175096
51,intracellular bile acid accumulation-cholestasis,25,15,1.6388308977035488,2.020618556701031,1.0695517056248451,4.729001160029425,2.7715174813853984
52,intracellular bile acid accumulation-inflammation,9,4,1.30062630480167,1.1855670103092784,1.0071084909556454,3.4933018060665937,2.5158555460827436
53,intracellular bile acid accumulation-necrosis,6,3,1.1878914405010437,1.0,1.0030664078632197,3.1909578483642633,2.453301623799503
54,intracellular bile acid accumulation-non_specified cell death,3,2,1.0939457202505218,1.0927835051546393,1.0008827537788056,3.1876119791839663,2.452609375003579
55,intracellular bile acid accumulation-novel_procoagulant activity,1,1,1.0,1.0927835051546393,1.0,3.0927835051546393,2.4329896907216497
56,intracellular bile acid accumulation-nuclear receptor activation,6,3,1.2254697286012526,1.0,1.0041814652680268,3.2296511938692793,2.461307143559161
57,intracellular bile acid accumulation-nuclear receptor changes,6,3,1.2254697286012526,1.0,1.0054359048484347,3.2309056334496873,2.461566682782694
58,intracellular bile acid accumulation-oxidative stress,10,5,1.30062630480167,1.1855670103092784,1.0137988353844882,3.4999921504954363,2.5172397552749177
59,mitochondrial impairment-cholestasis,2,2,1.0939457202505218,1.0,1.0009756752292065,3.0949213954797283,2.4334320128578746
60,mitochondrial impairment-nuclear receptor changes,1,1,1.0,1.0927835051546393,1.000185842900801,3.0929693480554405,2.4330281409769876
61,necrosis-cholestasis,10,9,1.30062630480167,1.0,1.0178409184769142,3.318467223278584,2.479682873781776
62,non_specified cell death-cholestasis,4,2,1.1315240083507303,1.0,1.001068596679607,3.1325926050303377,2.441226056213173
63,novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-bile acid synthesis changes,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
64,novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-nuclear receptor changes,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
65,novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-transporter changes,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
66,novel_AhR activiation-cholestasis,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
67,novel_AhR activiation-intracellular bile acid accumulation,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
68,novel_AhR activiation-necrosis,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
69,novel_AhR activiation-nuclear receptor changes,2,1,1.0375782881002087,1.0,1.0001393821756008,3.0377176702758093,2.421596759367409
70,novel_Bile acid membrane receptor changes-cholestasis,1,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
71,novel_Crebh activation-ER stress/unfolded protein response,2,1,1.0375782881002087,1.0,1.0001393821756008,3.0377176702758093,2.421596759367409
72,novel_Crebh activation-intracellular bile acid accumulation,2,1,1.0563674321503131,1.0,1.0002323036260017,3.056599735776315,2.425503393608893
73,novel_Crebh activation-oxidative stress,2,1,1.0375782881002087,1.0,1.0001393821756008,3.0377176702758093,2.421596759367409
74,novel_ERK1/2_LKB1_AMPK pathway activation-cholestasis,1,1,1.0187891440501042,1.0,1.000325225076402,3.0191143691265063,2.4177478005089323
75,novel_ERK1/2_LKB1_AMPK pathway activation-nuclear receptor changes,2,1,1.0563674321503131,1.0,1.000789832328405,3.057157264478718,2.425618744374907
76,novel_Fibrosis-cholestasis,1,1,1.0187891440501042,1.0927835051546393,1.0000464607252002,3.1116191099299435,2.4368867123992985
77,novel_GSH conjugation-cholestasis,1,1,1.0,1.0,1.0000464607252002,3.0000464607252004,2.4138027160121105
78,novel_Increased expression amphiregulin (AREG) = EGFR ligand-cholestasis,2,1,1.0375782881002087,1.0,1.0001393821756008,3.0377176702758093,2.421596759367409
79,novel_Lipogenesis-cholestasis,1,1,1.0,1.0,1.0001393821756008,3.000139382175601,2.4138219411397794
80,novel_PI3K/Akt signaling pathway-cholestasis,1,1,1.0,1.0,1.0,3.0,2.413793103448276
81,novel_Ppara inhibition-cholestasis,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
82,novel_Sirt1-bile acid synthesis changes,2,1,1.0563674321503131,1.0,1.000789832328405,3.057157264478718,2.425618744374907
83,novel_Sirt1-cholestasis,1,1,1.0375782881002087,1.0,1.000325225076402,3.0379035131766106,2.421635209622747
84,novel_Sirt1-nuclear receptor changes,1,1,1.0375782881002087,1.0,1.000325225076402,3.0379035131766106,2.421635209622747
85,novel_biliary epithelial cell proliferation -cholestasis,1,1,1.0,,1.0,2.0,2.206896551724138
86,novel_canalicular network formation-nuclear receptor changes,1,1,1.0187891440501042,1.1855670103092784,1.0001393821756008,3.2044955365349836,2.4561025248003414
87,novel_lipid homeostasis-novel_Cholestasis_associated hepatic steatosis,1,1,1.0,1.0,1.0000464607252002,3.0000464607252004,2.4138027160121105
88,nuclear receptor activation-bile acid metabolism changes,11,2,1.2442588726513568,1.0,1.0040420830924257,3.2483009557437823,2.465165714981472
89,nuclear receptor activation-bile acid synthesis changes,17,7,1.4697286012526094,1.649484536082474,1.0229515982489468,4.14216473558403,2.6501030487415234
90,nuclear receptor activation-transporter changes,16,4,1.3757828810020876,1.0927835051546393,1.0121262492772776,3.4806926354340044,2.51324675215876
91,nuclear receptor changes-apoptosis,3,2,1.0751565762004174,1.0,1.001068596679607,3.076225172880024,2.4295638288717294
92,nuclear receptor changes-bile acid metabolism changes,18,3,1.4133611691022965,1.0,1.0207679441645328,3.4341291132668292,2.5036129199862405
93,nuclear receptor changes-bile acid synthesis changes,35,10,1.826722338204593,2.206185567010309,1.0937112827289996,5.126619187943902,2.8537832802642553
94,nuclear receptor changes-cholestasis,92,41,2.916492693110647,2.670103092783505,1.9484957049640703,7.535091490858223,3.352087894660322
95,nuclear receptor changes-inflammation,8,6,1.2630480167014613,1.0,1.0146351284380937,3.2776831451395547,2.471244788649563
96,nuclear receptor changes-intracellular bile acid accumulation,10,4,1.2818371607515655,1.0,1.0098961344676634,3.2917332952192284,2.474151716252254
97,nuclear receptor changes-mitochondrial impairment,1,1,1.0375782881002087,1.0,1.0001393821756008,3.0377176702758093,2.421596759367409
98,nuclear receptor changes-novel_proatherogenic events,2,1,1.0563674321503131,1.0,1.0004181465268027,3.0567855786771156,2.425541843864231
99,nuclear receptor changes-nuclear receptor changes,5,1,1.1127348643006263,1.463917525773196,1.002183654084414,3.578836044158236,2.533552284998256
100,nuclear receptor changes-oxidative stress,5,2,1.1315240083507303,1.2783505154639174,1.001254439580408,3.411128963395056,2.4988542682886323
101,nuclear receptor changes-transporter changes,124,12,3.4801670146137784,7.77319587628866,1.4230249029487072,12.676387793851145,4.415804371141617
102,oxidative stress-ER stress/unfolded protein response,3,1,1.0375782881002087,1.0,1.0002787643512017,3.03785705245141,2.4216255970589122
103,oxidative stress-apoptosis,14,4,1.394572025052192,1.0,1.0121262492772776,3.40669827432947,2.4979375739992005
104,oxidative stress-autophagy,2,1,1.0187891440501042,1.0,1.0001393821756008,3.018928526225705,2.417709350253594
105,oxidative stress-bile canalicular changes,1,1,1.0,1.0,1.0,3.0,2.413793103448276
106,oxidative stress-cholestasis,53,28,2.221294363256785,1.463917525773196,1.2795541835301891,4.96476607256017,2.8202964288055528
107,oxidative stress-inflammation,1,1,1.0,1.0,1.0000464607252002,3.0000464607252004,2.4138027160121105
108,oxidative stress-intracellular bile acid accumulation,1,1,1.0187891440501042,1.0927835051546393,1.0000464607252002,3.1116191099299435,2.4368867123992985
109,oxidative stress-mitochondrial impairment,2,1,1.0375782881002087,1.1855670103092784,1.0001393821756008,3.223284680585088,2.459989933914156
110,oxidative stress-necropoptosis,3,1,1.0375782881002087,1.0,1.0002787643512017,3.03785705245141,2.4216255970589122
111,oxidative stress-necrosis,4,3,1.1691022964509394,1.0927835051546393,1.0015332039316098,3.2634190055371883,2.468293587352522
112,oxidative stress-novel_Ppara inhibition,1,1,1.0187891440501042,1.0,1.0,3.0187891440501042,2.4176805125620904
113,oxidative stress-novel_hepatocanalicular dysfunction,1,1,1.0,1.0,1.000325225076402,3.000325225076402,2.4138603913951178
114,oxidative stress-tight junction disruption,1,1,1.0375782881002087,1.0,1.0002787643512017,3.03785705245141,2.4216255970589122
115,oxidative stress-transporter changes,2,1,1.0375782881002087,1.0,1.000789832328405,3.0383681204286135,2.4217313352610925
116,tight junction disruption-apoptosis,1,1,1.0,1.0927835051546393,1.0,3.0927835051546393,2.4329896907216497
117,tight junction disruption-bile canalicular changes,1,1,1.0375782881002087,1.0927835051546393,1.0002787643512017,3.13064055760605,2.440822184332286
118,tight junction disruption-cholestasis,5,3,1.150313152400835,1.1855670103092784,1.0019513504584123,3.337831513168526,2.4836892785865916
119,tight junction disruption-intracellular bile acid accumulation,2,2,1.0751565762004174,1.1855670103092784,1.0006969108780044,3.2614204973877,2.4678801029078
120,tight junction disruption-necrosis,1,1,1.0,1.0,1.0,3.0,2.413793103448276
121,tight junction disruption-oxidative stress,2,1,1.0563674321503131,1.0,1.0001393821756008,3.056506814325914,2.4254841684812236
122,transporter changes-ER stress/unfolded protein response,4,1,1.0563674321503131,1.0,1.0004181465268027,3.0567855786771156,2.425541843864231
123,transporter changes-apoptosis,28,4,1.6200417536534446,1.0,1.0173298504997108,3.6373716041531554,2.545663090514446
124,transporter changes-bile acid metabolism changes,4,1,1.0563674321503131,1.0,1.0004181465268027,3.0567855786771156,2.425541843864231
125,transporter changes-bile acid synthesis changes,19,4,1.4509394572025052,1.556701030927835,1.013241306682085,4.020881794812425,2.6250100265129155
126,transporter changes-cholestasis,466,85,10.0,10.0,10.0,30.0,8.0
