edge,Time.concordance..EP.,time_freq,Dose.concordance..EP.,dose_freq,edge_count,Aid_count
oxidative stress-cholestasis,True,0.018867924528301886,True,0.07547169811320754,53,28
tight junction disruption-bile canalicular changes,True,1.0,nomeasure,0.0,1,1
oxidative stress-bile canalicular changes,nomeasure,0.0,nomeasure,0.0,1,1
oxidative stress-tight junction disruption,nomeasure,0.0,nomeasure,0.0,1,1
novel_AhR activiation-necrosis,nomeasure,0.0,nomeasure,0.0,1,1
novel_AhR activiation-cholestasis,nomeasure,0.0,nomeasure,0.0,1,1
novel_AhR activiation-intracellular bile acid accumulation,nomeasure,0.0,nomeasure,0.0,1,1
inflammation-cholestasis,True,0.06382978723404255,True,0.02127659574468085,47,33
inflammation-necrosis,True,0.25,nomeasure,0.0,4,4
oxidative stress-necrosis,True,0.25,nomeasure,0.0,4,3
necrosis-cholestasis,nomeasure,0.0,nomeasure,0.0,10,9
novel_Crebh activation-oxidative stress,nomeasure,0.0,nomeasure,0.0,2,1
novel_Crebh activation-ER stress/unfolded protein response,nomeasure,0.0,nomeasure,0.0,2,1
novel_Crebh activation-intracellular bile acid accumulation,nomeasure,0.0,nomeasure,0.0,2,1
intracellular bile acid accumulation-inflammation,True,0.1111111111111111,True,0.1111111111111111,9,4
inflammation-ER stress/unfolded protein response,True,1.0,True,1.0,4,1
inflammation-mitochondrial impairment,True,1.0,True,1.0,4,1
bile canalicular changes-cholestasis,True,0.8181818181818182,True,0.9090909090909091,11,3
bile canalicular changes-bile canalicular changes,True,1.0,True,1.0,1,1
bile canalicular changes-intracellular bile acid accumulation,True,0.375,True,0.375,8,3
intracellular bile acid accumulation-oxidative stress,True,0.1,True,0.1,10,5
intracellular bile acid accumulation-apoptosis,True,0.16666666666666666,True,0.16666666666666666,6,3
ER stress/unfolded protein response-bile canalicular changes,True,1.0,True,1.0,1,1
intracellular bile acid accumulation-cholestasis,True,0.08,yes,0.36,25,15
novel_GSH conjugation-cholestasis,nomeasure,0.0,nomeasure,0.0,1,1
non_specified cell death-cholestasis,nomeasure,0.0,nomeasure,0.0,4,2
mitochondrial impairment-cholestasis,nomeasure,0.0,nomeasure,0.0,2,2
intracellular bile acid accumulation-necrosis,nomeasure,0.0,nomeasure,0.0,6,3
Cytoskeleton integrity disruption-cholestasis,False,0.5,yes,0.5,4,3
intracellular bile acid accumulation-non_specified cell death,nomeasure,0.0,False,0.3333333333333333,3,2
intracellular bile acid accumulation-novel_procoagulant activity,nomeasure,0.0,True,1.0,1,1
apoptosis-cholestasis,True,0.13333333333333333,nomeasure,0.0,15,8
inflammation-apoptosis,nomeasure,0.0,nomeasure,0.0,4,3
oxidative stress-apoptosis,nomeasure,0.0,nomeasure,0.0,14,4
ER stress/unfolded protein response-apoptosis,nomeasure,0.0,nomeasure,0.0,3,2
ER stress/unfolded protein response-cholestasis,True,0.2222222222222222,nomeasure,0.0,9,5
bile canalicular changes-apoptosis,True,0.375,nomeasure,0.0,8,3
tight junction disruption-apoptosis,True,1.0,nomeasure,0.0,1,1
bile canalicular changes-tight junction disruption,True,1.0,nomeasure,0.0,1,1
intracellular bile acid accumulation-ER stress/unfolded protein response,nomeasure,0.0,nomeasure,0.0,5,2
bile canalicular changes-inflammation,nomeasure,0.0,nomeasure,0.0,1,1
bile canalicular changes-oxidative stress,nomeasure,0.0,nomeasure,0.0,1,1
bile canalicular changes-mitochondrial impairment,nomeasure,0.0,nomeasure,0.0,1,1
ER stress/unfolded protein response-autophagy,nomeasure,0.0,nomeasure,0.0,2,1
oxidative stress-autophagy,nomeasure,0.0,nomeasure,0.0,2,1
ER stress/unfolded protein response-necrosis,nomeasure,0.0,nomeasure,0.0,1,1
oxidative stress-ER stress/unfolded protein response,nomeasure,0.0,nomeasure,0.0,3,1
