,Unnamed: 0,Pmid,Sentences,COMPOUND,PHENOTYPE,Has Match,Cause Match,Effect Match,Verb Match,Ontology ID,Ontology term,CID,compound_name,compound_name_final,lemma_verb
0,6,35306043,Combination therapy of 10% AKBA with MTX is effective in inhibiting arthritis and circumventing hepatotoxicity produced by MTX in arthritic animals.,"['AKBA', 'MTX', 'MTX']","['arthritis', 'hepatotoxicity']",True,MTX,arthritis,inhibiting,C0003864,Arthritis,126941,Methotrexate,Methotrexate,inhibit
1,65,35093559,"Caffeine alone produces genotoxicity on this species but, when combined with diclofenac, it potentiates hepatic lipoperoxidation and the inhibition of oxidative stress enzymes, while diclofenac alone or in combination  produces a general inhibition of important enzymes.",['diclofenac'],"['hepatic lipoperoxidation', 'inhibition of oxidative stress']",True,diclofenac,inhibition of oxidative stress,produces,C0242606,Oxidative stress,3033,Diclofenac,Diclofenac,produce
2,132,35142704,De novo opioid boluses were associated with increased ICP and reduced cerebral perfusion pressure.,['opioid'],"['increased ICP', 'reduced cerebral perfusion pressure']",True,opioid,increased ICP,associated,C0302845,Increased mean corpuscular volume,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",opioid,associate
3,133,35142704,Ketamine bolus and infusions were not associated with increased ICP and may reduce the incidence of  cortical spreading depolarization events.,['Ketamine'],['increased ICP'],True,Ketamine,increased ICP,associated,C0302845,Increased mean corpuscular volume,3821,Ketamine,Ketamine,associate
4,152,35120712," RESULTS: Midazolam significantly inhibited tumour size and proliferative index of Ki-67 and cyclins in pancreatic ductal adenocarcinoma, which was blocked by administration of PK11195.",['Midazolam'],['pancreatic ductal adenocarcinoma'],True,Midazolam,pancreatic ductal adenocarcinoma,inhibited,C0281361,Pancreatic adenocarcinoma,4192,midazolam,midazolam,inhibit
5,154,35120712,Midazolam inhibited pancreatic ductal adenocarcinoma proliferation through downregulation of cyclins  and cyclin-dependent kinases and induced apoptosis in vitro.,['Midazolam'],"['pancreatic ductal adenocarcinoma proliferation', 'apoptosis']",True,Midazolam,pancreatic ductal adenocarcinoma proliferation,inhibited,C0281361,Pancreatic adenocarcinoma,4192,midazolam,midazolam,inhibit
6,155,35120712," CONCLUSIONS: These results suggest that midazolam inhibits pancreatic ductal adenocarcinoma proliferation and local infiltration of tumour-associated neutrophils, tumour-associated macrophages, and polymorphonuclear myeloid-derived suppressor cells, thereby inhibiting pancreatic ductal adenocarcinoma progression.",['midazolam'],"['pancreatic ductal adenocarcinoma proliferation', 'local infiltration of tumour-associated neutrophils', 'inhibiting pancreatic ductal adenocarcinoma progression']",True,midazolam,pancreatic ductal adenocarcinoma proliferation,inhibits,C0281361,Pancreatic adenocarcinoma,4192,midazolam,midazolam,inhibit
7,191,35042691,"Standard-dose lidocaine (40-60 mg) and high-dose propofol (> 1000 mg) were associated with prolonged time until death (prolonged by a median of 1 min and 3 min, respectively).",['propofol'],['death'],True,propofol,death,associated,C1546180,Age of death,4943,Propofol,Propofol,associate
8,203,35022262,"Multivariable logistic regression models were run to determine if midazolam was associated with postoperative cardiac and  pulmonary complications, delirium, and in-hospital falls.",['midazolam'],['delirium'],True,midazolam,delirium,associated,C0011206,Delirium,4192,midazolam,midazolam,associate
9,204,35022262,"Notably, the combined use of midazolam and gabapentinoids was associated with a substantial increase in the odds for respiratory failure and delirium.",['midazolam'],"['respiratory failure', 'delirium']",True,midazolam,respiratory failure,associated,C1145670,Respiratory failure,4192,midazolam,midazolam,associate
10,204,35022262,"Notably, the combined use of midazolam and gabapentinoids was associated with a substantial increase in the odds for respiratory failure and delirium.",['midazolam'],"['respiratory failure', 'delirium']",True,midazolam,delirium,associated,C0011206,Delirium,4192,midazolam,midazolam,associate
11,228,34118477,"At low glucose, sulfonylureas inhibited glucagon secretion  of islets despite the rise in α-cell [Ca2+]c that they triggered.",['sulfonylureas'],['glucagon secretion'],True,sulfonylureas,glucagon secretion,inhibited,C1295678,Decreased glucagon level,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",sulfonylureas,inhibit
12,255,32790843,"However, depolarization by tolbutamide, gliclazide, or 15 mM KCl increased  insulin secretion before the glucagon secretion receded.","['tolbutamide', 'gliclazide', 'KCl']","['depolarization', 'glucagon secretion']",True,tolbutamide,glucagon secretion,increased,C1295678,Decreased glucagon level,5505,tolbutamide,tolbutamide,increase
13,255,32790843,"However, depolarization by tolbutamide, gliclazide, or 15 mM KCl increased  insulin secretion before the glucagon secretion receded.","['tolbutamide', 'gliclazide', 'KCl']","['depolarization', 'glucagon secretion']",True,gliclazide,glucagon secretion,increased,C1295678,Decreased glucagon level,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",gliclazide,increase
14,257,32790843," The glucagon secretion by SUR1 knockout islets was not increased by tolbutamide,  whereas 40 mM KCl was of unchanged efficiency.","['tolbutamide', 'KCl']",['glucagon secretion'],True,tolbutamide,glucagon secretion,increased,C1295678,Decreased glucagon level,5505,tolbutamide,tolbutamide,increase
15,257,32790843," The glucagon secretion by SUR1 knockout islets was not increased by tolbutamide,  whereas 40 mM KCl was of unchanged efficiency.","['tolbutamide', 'KCl']",['glucagon secretion'],True,KCl,glucagon secretion,increased,C1295678,Decreased glucagon level,4873,Potassium Chloride,Potassium Chloride,increase
16,298,35287982," CONCLUSIONS: Both the B52 and 52 combinations infrequently required repeat agitation medication; however, the B52 combination resulted in more oxygen desaturation, hypotension, physical restraint use, and longer length of stay.",['oxygen'],"['hypotension', 'longer length of stay']",True,oxygen,hypotension,resulted,C0020649,Hypotension,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",oxygen,result
17,300,35242029,"All antipsychotics caused glucose intolerance, with strongest effects by clozapine > olanzapine > risperidone > haloperidol.","['clozapine', 'olanzapine', 'risperidone', 'haloperidol']",['glucose intolerance'],True,clozapine,glucose intolerance,caused,C0271650,Abnormal glucose tolerance,135398737,Clozapine,Clozapine,cause
18,300,35242029,"All antipsychotics caused glucose intolerance, with strongest effects by clozapine > olanzapine > risperidone > haloperidol.","['clozapine', 'olanzapine', 'risperidone', 'haloperidol']",['glucose intolerance'],True,olanzapine,glucose intolerance,caused,C0271650,Abnormal glucose tolerance,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",olanzapine,cause
19,300,35242029,"All antipsychotics caused glucose intolerance, with strongest effects by clozapine > olanzapine > risperidone > haloperidol.","['clozapine', 'olanzapine', 'risperidone', 'haloperidol']",['glucose intolerance'],True,risperidone,glucose intolerance,caused,C0271650,Abnormal glucose tolerance,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",risperidone,cause
20,300,35242029,"All antipsychotics caused glucose intolerance, with strongest effects by clozapine > olanzapine > risperidone > haloperidol.","['clozapine', 'olanzapine', 'risperidone', 'haloperidol']",['glucose intolerance'],True,haloperidol,glucose intolerance,caused,C0271650,Abnormal glucose tolerance,3559,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,cause
21,301,35242029,"Plasma catecholamines were also increased by drug treatment, with greatest effects for norepinephrine and epinephrine caused by clozapine > risperidone > olanzapine > haloperidol.","['clozapine', 'risperidone', 'olanzapine', 'haloperidol']",['epinephrine'],True,clozapine,epinephrine,increased,C1868393,Elevated urinary epinephrine,135398737,Clozapine,Clozapine,increase
