Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968407,6128,jian.jiang,cytoplasm_displacement,NA,novel,he staining,steatosis,NA,triglyceride,NA,pollutant,perfluorooctanoic_acid_(pfoa),mouse,in vivo,yes,nomeasure,negative correlation,functional,inhibitor/inducer study,10.1016/j.gene.2017.04.024,"blood free fatty acid, blood tg"
14968407,6128,jian.jiang,cytoplasm_displacement,NA,novel,he staining,steatosis,NA,novel,alt,pollutant,perfluorooctanoic_acid_(pfoa),mouse,in vivo,yes,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.gene.2017.04.024,he staining
14969244,5829,anna.s.rapisarda,de_novo_lipogenesis,NA,srebf1(srebp1-1c);fasn(fas);acc,NA,fatty_liver,NA,other,"tag, nefa",food supplement,a_lactalbumin,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1017/s000711451700232x,increased protein expression of cytosolic acc1 and fasn
14969403,5956,birgitte.lindeman,de_novo_lipogenesis,NA,other,"p-camkkb, p-ampk, p-acc",steatosis,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,yes,nomeasure,negative correlation,other,other,doi:10.3390/biom9100560,adh negative deer mice
14969461,4990,ramiro.jover,de_novo_lipogenesis,NA,other,lipid droplets,steatosis,NA,not defined,NA,pharmaceutical,ds_7250,rat,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1177/0192623318765909,"[trans-4-(f[6-f[(4-methylphenyl) carbamoyl]aminog-3,4-dihydroisoquinolin-2(1 h)-yl]carbonylgoxy) cyclohexyl]acetic acid. c26h31n3o5. figure 6."
14969338,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,pharmaceutical,nampt_inhibitor_(fk866),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,10.1186/s12944-017-0464-z,NA
14968924,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,pparg;srebf1(srebp1-1c);fasn(fas);acc,NA,fatty_liver,NA,cholesterol;triglyceride;other,NA,food supplement,homocysteine,mouse,ex vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1038/aps.2017.127,
14968924,7075,graciela.lopezsoop,fatty_liver,NA,cholesterol;triglyceride;other ,lipid droplets ,steatosis,NA,cholesterol;triglyceride;other,lipid droplets ,food supplement,homocysteine,mouse,ex vivo,nomeasure,nomeasure,positive correlation,functional,other ,10.1038/aps.2017.127,
14969261,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,fatty_liver,NA,triglyceride,NA,alcohol,ethanol,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,10.1093/toxsci/kfw228,nile red staining
14969261,7736,joost.boeckmans,fatty_liver,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,alcohol,ethanol,human,in vitro,nomeasure,nomeasure,positive correlation,functional,other ,10.1093/toxsci/kfw228,nile red staining
14969446,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);scd1,NA,fatty_liver,NA,not defined,NA,pharmaceutical,dexamethasone,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1186/s12986-018-0272-0,
14969446,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,fatty_liver,NA,not defined,NA,pharmaceutical,dexamethasone,human,in vitro,nomeasure,yes,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1186/s12986-018-0272-0,
14969446,7736,joost.boeckmans,fatty_liver,NA,not defined,NA,steatosis,NA,not defined,NA,pharmaceutical,dexamethasone,human,in vitro,nomeasure,nomeasure,positive correlation,functional,other ,https://doi.org/10.1186/s12986-018-0272-0,
14968040,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,chrebp,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sulpiride,rat,in vivo,nomeasure,nomeasure,no correlation,functional,translational study,https://doi.org/10.1016/j.taap.2018.02.023,triglyceride content measured enzimatically with kit + western blot
14968040,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sulpiride,rat,in vivo,nomeasure,nomeasure,no correlation,functional,translational study,https://doi.org/10.1016/j.taap.2018.02.023,triglyceride content measured enzimatically with kit + western blot
14968040,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sulpiride,rat,in vivo,nomeasure,nomeasure,no correlation,functional,translational study,https://doi.org/10.1016/j.taap.2018.02.023,triglyceride content measured enzimatically with kit + western blot
14968040,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sulpiride,rat,in vivo,nomeasure,nomeasure,no correlation,functional,translational study,https://doi.org/10.1016/j.taap.2018.02.023,triglyceride content measured enzimatically with kit + western blot
14968040,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sulpiride,rat,in vivo,nomeasure,nomeasure,no correlation,functional,translational study,https://doi.org/10.1016/j.taap.2018.02.023,triglyceride content measured enzimatically with kit + western blot
14968044,4983,tamara.vanhaecke,de_novo_lipogenesis_fa_synthesis,NA,acc;fasn(fas);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,"1,2_dichloroethane",mouse,in vivo,yes,nomeasure,negative correlation,translational;transcriptional,translational study;transcriptional study,http://dx.doi.org/10.1016/j.tox.2017.02.005,"28d inhalatory route, effects likly due to metabolite 2-ca via increase in akt1 phosphorylation level (investigated in aml12 cells"
14968047,7544,alexandra.gatzios,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1016/j.cbi.2017.08.006,article claims ppara to be crucial regulator of these genes
14968050,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,thiamethoxan,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,,fasn and tg were both dose-dependent
14968050,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,thiamethoxan,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional;translational,transcriptional study;inhibitor/inducer study;translational study,,fasn and tg were both dose-dependent
14968068,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,mono_2_ethylhexyl_phthalate,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.ecoenv.2019.109611,na
14968077,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,pparg;acc;scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,"used a fa-induced model, benzbromarone aggrevated the condition. tg levels were increased dose-dependently"
14968077,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,pparg;srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,"used a fa-induced model, benzbromarone aggrevated the condition. tg and dnl levels were increased dose-dependently"
14968126,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,uric_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1152/ajpendo.00518.2020,inhibition jnk also downregulated fas and acc
